numSamples, numHistograms, histSize, k, branching, meanTime, stddevTime
500, 56, 41, 2, 2, 214.7, 18.9025
500, 56, 41, 4, 4, 219.15, 18.8382
500, 56, 41, 8, 8, 275.55, 20.4887
500, 56, 41, 16, 16, 405.33, 25.6866
500, 56, 41, 32, 32, 587.13, 60.5167
500, 56, 41, 64, 64, 957.38, 143.617
1000, 56, 41, 2, 2, 495.47, 21.7346
1000, 56, 41, 4, 4, 488.64, 17.1903
1000, 56, 41, 8, 8, 613.25, 16.6651
1000, 56, 41, 16, 16, 855.95, 29.1379
1000, 56, 41, 32, 32, 1373.65, 25.1016
1000, 56, 41, 64, 64, 2308.61, 99.2375
2500, 56, 41, 2, 2, 1555.34, 43.9638
2500, 56, 41, 4, 4, 1500.93, 28.3835
2500, 56, 41, 8, 8, 1893.05, 28.9288
2500, 56, 41, 16, 16, 2635.18, 52.9378
2500, 56, 41, 32, 32, 4062.34, 62.5362
2500, 56, 41, 64, 64, 6314.16, 121.56
5000, 56, 41, 2, 2, 3734.25, 91.0823
5000, 56, 41, 4, 4, 3480.92, 75.4655
5000, 56, 41, 8, 8, 4322.13, 49.3447
5000, 56, 41, 16, 16, 6325.83, 78.2853
5000, 56, 41, 32, 32, 9154.71, 149.231
5000, 56, 41, 64, 64, 14837.4, 392.384
7500, 56, 41, 2, 2, 5917.27, 79.4463
7500, 56, 41, 4, 4, 5624.27, 52.9644
7500, 56, 41, 8, 8, 6978.92, 66.0492
7500, 56, 41, 16, 16, 10079.8, 200.499
7500, 56, 41, 32, 32, 15013.1, 349.267
7500, 56, 41, 64, 64, 23442.9, 181.581
10000, 56, 41, 2, 2, 8055.15, 102.442
10000, 56, 41, 4, 4, 7774, 167.94
10000, 56, 41, 8, 8, 9581.98, 86.1194
10000, 56, 41, 16, 16, 13417.3, 284.796
10000, 56, 41, 32, 32, 21300.1, 1429.19
10000, 56, 41, 64, 64, 35843.8, 1343.04
