numSamples, numHistograms, histSize, k, branching, meanTime, stddevTime
500, 56, 41, 2, 2, 209.28, 14.6101
500, 56, 41, 4, 2, 222.73, 16.7982
500, 56, 41, 8, 2, 246.84, 19.5142
500, 56, 41, 16, 2, 247.71, 18.1933
500, 56, 41, 32, 2, 264.85, 19.0127
500, 56, 41, 64, 2, 301.47, 16.6488
1000, 56, 41, 2, 2, 566.83, 42.915
1000, 56, 41, 4, 2, 576.23, 43.0499
1000, 56, 41, 8, 2, 605.63, 44.7007
1000, 56, 41, 16, 2, 639.19, 47.744
1000, 56, 41, 32, 2, 674, 41.6234
1000, 56, 41, 64, 2, 725.36, 40.6762
2500, 56, 41, 2, 2, 1891.62, 115.866
2500, 56, 41, 4, 2, 1894.54, 107.225
2500, 56, 41, 8, 2, 2017.08, 120.247
2500, 56, 41, 16, 2, 2088.08, 137.972
2500, 56, 41, 32, 2, 2324.14, 125.439
2500, 56, 41, 64, 2, 2441.93, 134.364
5000, 56, 41, 2, 2, 4578.26, 232.688
5000, 56, 41, 4, 2, 4640.75, 252.55
5000, 56, 41, 8, 2, 4841.39, 267.666
5000, 56, 41, 16, 2, 5046.56, 468.808
5000, 56, 41, 32, 2, 4901.88, 237.367
5000, 56, 41, 64, 2, 5445.76, 265.549
7500, 56, 41, 2, 2, 8181.53, 430.262
7500, 56, 41, 4, 2, 8265.27, 672.094
7500, 56, 41, 8, 2, 7978.13, 487.245
7500, 56, 41, 16, 2, 8330.43, 429.245
7500, 56, 41, 32, 2, 8185.14, 445.008
7500, 56, 41, 64, 2, 8354.19, 472.844
10000, 56, 41, 2, 2, 11714.8, 786.262
10000, 56, 41, 4, 2, 11574.4, 903.644
10000, 56, 41, 8, 2, 11307.4, 663.181
10000, 56, 41, 16, 2, 11198.5, 760.083
10000, 56, 41, 32, 2, 11070.6, 735.8
10000, 56, 41, 64, 2, 11622.1, 595.835

