numSamples, numHistograms, histSize, k, branching, meanTime, stddevTime
500, 56, 41, 16, 16, 799.61, 34.4148
500, 56, 41, 31, 16, 794.58, 41.0553
500, 56, 41, 61, 16, 795.06, 36.9044
1000, 56, 41, 16, 16, 1792.39, 39.6887
1000, 56, 41, 31, 16, 1799.01, 35.4419
1000, 56, 41, 61, 16, 1794.38, 36.5665
2500, 56, 41, 16, 16, 5591.14, 129.473
2500, 56, 41, 31, 16, 5601.13, 135.883
2500, 56, 41, 61, 16, 5609.57, 126.291
5000, 56, 41, 16, 16, 13324.9, 216.506
5000, 56, 41, 31, 16, 13315.2, 171.429
5000, 56, 41, 61, 16, 13334.4, 165.322
7500, 56, 41, 16, 16, 21300.4, 163.559
7500, 56, 41, 31, 16, 21268.6, 153.487
7500, 56, 41, 61, 16, 21516.8, 379.804
10000, 56, 41, 16, 16, 30129, 180.15
10000, 56, 41, 31, 16, 30264.3, 172.475
10000, 56, 41, 61, 16, 30155.6, 165.534
